OBJECTID,plz,einwohner,SHAPE_Length,SHAPE_Area
5370,64560,21567,76979.1074566386,165284325.171814
5371,64853,6319,59476.7752622861,100639438.930618
5372,64287,15774,49123.7329786426,76535159.841616
5373,64297,22075,31827.9173069142,43307115.8585345
5374,64579,9825,49616.4543498114,95287055.247489
5375,64342,15737,46509.6142499606,66794311.9516929
5376,64380,11900,31686.2146155294,49384770.0774614
5377,64846,13528,48581.0856855724,51640510.7792361
5378,64397,5018,44069.3569637839,76548979.1944415
5379,64665,9109,35751.8619012561,38670922.3270437
5380,64521,23766,70497.4243706412,130729691.006912
5381,64293,13332,23521.5446722172,22656186.4349085
5382,64569,9830,33245.7193502402,32981682.434009
5383,64283,11548,10967.620344007,3484100.86254697
5384,67368,1749,29685.8516100664,16702028.8783391
5385,64859,5954,37460.7774517772,31057187.5352207
5386,67361,1093,16689.6175970982,13027428.447619
5387,64367,13536,47414.6589961017,61075204.7369016
5388,64289,23870,24912.8335609931,16886517.1183514
5389,67251,5064,21137.9186526881,22504034.2475629
5390,64319,23823,46024.5686014455,100950408.139993
5391,60599,21441,29033.37293806,35942366.9201962
5392,60314,10109,21012.9406804918,10265484.1908804
5393,67161,1499,23218.6829964709,15583887.0374854
5394,60389,23031,22151.7377025786,18724545.0644237
5395,60486,19141,20780.3265574968,10909837.2171476
5396,67281,2274,21921.8352241918,21510597.5178292
5397,60487,15666,18359.8110145007,6968216.03027402
5398,60528,22825,34764.2822966751,44308252.0733196
5399,60385,33049,13231.2315662073,6286457.56483023
5400,60326,20809,17267.931310107,8133669.92263536
5401,60388,18712,32004.3379559812,34346249.5815994
5402,60439,35056,22852.0730028033,22090801.1834711
5403,60386,21018,29462.4490662642,22372902.9324352
5404,60311,5428,11349.3172991978,2411491.84181718
5405,60431,22625,16449.1009308934,10639953.6201834
5406,60322,12931,11715.7320403975,3282476.12038493
5407,60308,0,418.524947160578,10881.5400584069
5408,60435,29833,24871.4800857939,19765223.1654045
5409,60316,21128,11121.8459761488,2999724.15082179
5410,60437,31230,42213.5370439821,61109019.6560622
5411,60598,18427,21716.9220005381,17223401.7230739
5412,60488,19488,24175.8257099703,17610401.6023234
5413,60549,12,36216.4910393326,54650055.1672866
5414,61276,6280,76906.3342677508,172869772.889105
5415,61137,11633,36955.4926549908,52819129.458311
5416,31708,1182,17626.7734435479,9206257.35631201
5417,61479,5234,60091.8514802017,66248940.4086627
5418,61191,11940,66153.1625407037,110744882.553868
5419,31710,750,11917.0441757464,4057739.97257095
5420,61381,24214,46498.2451489502,73466777.4907659
5421,61348,13333,25447.8384129658,11409141.7866952
5422,61350,21470,44214.1452525222,70473730.3933759
5423,61239,5762,51977.3110981743,92227585.3791217
5424,61273,9274,57044.7806993777,93864491.3559435
5425,61279,5194,55291.253515353,105780560.945368
5426,31693,2126,20345.3694090181,17404647.6556555
5427,61169,27355,66887.0991875416,122930030.441522
